ICD	ICD10	ICD10cm	ICD_class1	ICD_class2	ICD_class3	Phecode	Phenotype	maternal	neonatal
B01	B01.0	B01.0	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Varicella meningitis	320	Meningitis	Yes	Yes
B01	B01.0	B01.0	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Varicella meningitis	79.1	Varicella infection	Yes	Yes
B01	B01.1	B01.12	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Varicella encephalitis	79.1	Varicella infection	Yes	Yes
B01	B01.1	B01.11	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Varicella encephalitis	323	Encephalitis	Yes	Yes
B01	B01.9	B01.9	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Varicella without complication	79.1	Varicella infection	Yes	Yes
B01	B01.8	B01.81	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Varicella with other complications	79.1	Varicella infection	Yes	Yes
B01	B01.8	B01.89	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Varicella with other complications	79.1	Varicella infection	Yes	Yes
B01	B01.8	B01.8	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Varicella with other complications	79.1	Varicella infection	Yes	Yes
B02	B02.7	B02.7	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Disseminated zoster	53	Herpes zoster	Yes	
B02	B02.2	B02.23	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Zoster with other nervous system involvement	53.1	Herpes zoster with nervous system complications	Yes	
B02	B02.2	B02.2	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Zoster with other nervous system involvement	53.1	Herpes zoster with nervous system complications	Yes	
B02	B02.2	B02.22	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Zoster with other nervous system involvement	53.1	Herpes zoster with nervous system complications	Yes	
B02	B02.2	B02.29	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Zoster with other nervous system involvement	53.1	Herpes zoster with nervous system complications	Yes	
B02	B02.2	B02.21	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Zoster with other nervous system involvement	53.1	Herpes zoster with nervous system complications	Yes	
B02	B02.2	B02.24	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Zoster with other nervous system involvement	53.1	Herpes zoster with nervous system complications	Yes	
B02	B02.9	B02.9	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Zoster without complication	53	Herpes zoster	Yes	
B02	B02.3	B02.32	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Zoster ocular disease	369.2	Eye infection, viral	Yes	
B02	B02.3	B02.30	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Zoster ocular disease	369.2	Eye infection, viral	Yes	
B02	B02.3	B02.33	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Zoster ocular disease	369.2	Eye infection, viral	Yes	
B02	B02.3	B02.34	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Zoster ocular disease	369.2	Eye infection, viral	Yes	
B02	B02.3	B02.31	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Zoster ocular disease	369.2	Eye infection, viral	Yes	
B02	B02.3	B02.39	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Zoster ocular disease	369.2	Eye infection, viral	Yes	
B02	B02.3	B02.3	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Zoster ocular disease	369.2	Eye infection, viral	Yes	
B02	B02.1	B02.1	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Zoster meningitis	320	Meningitis	Yes	
B02	B02.0	B02.0	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Zoster encephalitis	323	Encephalitis	Yes	
B02	B02.0	B02.0	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Zoster encephalitis	53.1	Herpes zoster with nervous system complications	Yes	
B02	B02.8	B02.8	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Zoster with other complications	53	Herpes zoster	Yes	
B02	B02	B02	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Zoster [herpes zoster]	53	Herpes zoster	Yes	
B07	B07	B07	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Viral warts	78	Viral warts & HPV	Yes	
B08	B08.4	B08.4	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Enteroviral vesicular stomatitis with exanthem	NA	NA		Yes
B08	B08.5	B08.5	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Enteroviral vesicular pharyngitis	NA	NA		Yes
B08	B08.2	B08.2	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Exanthema subitum [sixth disease]	NA	NA		Yes
B08	B08.0	B08.0	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Other orthopoxvirus infections	NA	NA		Yes
B08	B08.8	B08.8	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Other specified viral infections characterized by skin and mucous membrane lesions	NA	NA		Yes
B08	B08.3	B08.3	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Erythema infectiosum [fifth disease]	NA	NA		Yes
B08	B08.1	B08.1	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Molluscum contagiosum	NA	NA		Yes
B09	B09	B09	Certain infectious and parasitic diseases	Viral infections characterized by skin and mucous membrane lesions	Unspecified viral infection characterized by skin and mucous membrane lesions	79	Viral infection	Yes	Yes
B18	B18	B18	Certain infectious and parasitic diseases	Viral hepatitis	Chronic viral hepatitis	1010	Other tests	Yes	
B18	B18.2	B18.2	Certain infectious and parasitic diseases	Viral hepatitis	Chronic viral hepatitis C	70.3	Viral hepatitis C	Yes	
B18	B18.0	B18.0	Certain infectious and parasitic diseases	Viral hepatitis	Chronic viral hepatitis B with delta-agent	70.2	Viral hepatitis B	Yes	
B18	B18.1	B18.1	Certain infectious and parasitic diseases	Viral hepatitis	Chronic viral hepatitis B without delta-agent	70.2	Viral hepatitis B	Yes	
B18	B18.8	B18.8	Certain infectious and parasitic diseases	Viral hepatitis	Other chronic viral hepatitis	70	Viral hepatitis	Yes	
B18	B18.9	B18.9	Certain infectious and parasitic diseases	Viral hepatitis	Chronic viral hepatitis, unspecified	70	Viral hepatitis	Yes	
B34	B34.0	B34.0	Certain infectious and parasitic diseases	Other viral diseases	Adenovirus infection, unspecified site	79	Viral infection	Yes	Yes
B34	B34.8	B34.8	Certain infectious and parasitic diseases	Other viral diseases	Other viral infections of unspecified site	79	Viral infection	Yes	Yes
B34	B34.3	B34.3	Certain infectious and parasitic diseases	Other viral diseases	Parvovirus infection, unspecified site	79	Viral infection	Yes	Yes
B34	B34.9	B34.9	Certain infectious and parasitic diseases	Other viral diseases	Viral infection, unspecified	79.9	Viremia, NOS	Yes	Yes
B34	B34	B34	Certain infectious and parasitic diseases	Other viral diseases	Viral infection of unspecified site	79	Viral infection	Yes	Yes
B34	B34.4	B34.4	Certain infectious and parasitic diseases	Other viral diseases	Papovavirus infection, unspecified site	79	Viral infection	Yes	Yes
B34	B34.2	B34.2	Certain infectious and parasitic diseases	Other viral diseases	Coronavirus infection, unspecified site	79	Viral infection	Yes	Yes
B34	B34.1	B34.1	Certain infectious and parasitic diseases	Other viral diseases	Enterovirus infection, unspecified site	79	Viral infection	Yes	Yes
B35	B35.6	B35.6	Certain infectious and parasitic diseases	Mycoses	Tinea inguinalis [Tinea cruris]	110.13	Dermatophytosis of the body	Yes	Yes
B35	B35.0	B35.0	Certain infectious and parasitic diseases	Mycoses	Tinea barbae and tinea capitis	110.1	Dermatophytosis	Yes	Yes
B35	B35.8	B35.8	Certain infectious and parasitic diseases	Mycoses	Other dermatophytoses	110.1	Dermatophytosis	Yes	Yes
B35	B35.1	B35.1	Certain infectious and parasitic diseases	Mycoses	Tinea unguium	110.11	Dermatophytosis of nail	Yes	Yes
B35	B35.4	B35.4	Certain infectious and parasitic diseases	Mycoses	Tinea corporis	110.13	Dermatophytosis of the body	Yes	Yes
B35	B35	B35	Certain infectious and parasitic diseases	Mycoses	Dermatophytosis	110.1	Dermatophytosis	Yes	Yes
B35	B35.9	B35.9	Certain infectious and parasitic diseases	Mycoses	Dermatophytosis, unspecified	110.1	Dermatophytosis	Yes	Yes
B35	B35.2	B35.2	Certain infectious and parasitic diseases	Mycoses	Tinea manuum	110.1	Dermatophytosis	Yes	Yes
B35	B35.5	B35.5	Certain infectious and parasitic diseases	Mycoses	Tinea imbricata	110.13	Dermatophytosis of the body	Yes	Yes
B35	B35.3	B35.3	Certain infectious and parasitic diseases	Mycoses	Tinea pedis	110.12	Althete's foot	Yes	Yes
B36	B36.1	B36.1	Certain infectious and parasitic diseases	Mycoses	Tinea nigra	110.2	Dermatomycoses	Yes	Yes
B36	B36	B36	Certain infectious and parasitic diseases	Mycoses	Other superficial mycoses	110.2	Dermatomycoses	Yes	Yes
B36	B36.8	B36.8	Certain infectious and parasitic diseases	Mycoses	Other specified superficial mycoses	110.2	Dermatomycoses	Yes	Yes
B36	B36.0	B36.0	Certain infectious and parasitic diseases	Mycoses	Pityriasis versicolor	110.2	Dermatomycoses	Yes	Yes
B36	B36.9	B36.9	Certain infectious and parasitic diseases	Mycoses	Superficial mycosis, unspecified	110.2	Dermatomycoses	Yes	Yes
B36	B36.2	B36.2	Certain infectious and parasitic diseases	Mycoses	White piedra	110.2	Dermatomycoses	Yes	Yes
B36	B36.3	B36.3	Certain infectious and parasitic diseases	Mycoses	Black piedra	110.2	Dermatomycoses	Yes	Yes
B37	B37.1	B37.1	Certain infectious and parasitic diseases	Mycoses	Pulmonary candidiasis	NA	NA		Yes
B37	B37	B37	Certain infectious and parasitic diseases	Mycoses	Candidiasis	NA	NA		Yes
B37	B37.9	B37.9	Certain infectious and parasitic diseases	Mycoses	Candidiasis, unspecified	NA	NA		Yes
B37	B37.7	B37.7	Certain infectious and parasitic diseases	Mycoses	Candidal sepsis	NA	NA		Yes
B37	B37.0	B37.0	Certain infectious and parasitic diseases	Mycoses	Candidal stomatitis	NA	NA		Yes
B37	B37.5	B37.5	Certain infectious and parasitic diseases	Mycoses	Candidal meningitis	NA	NA		Yes
B37	B37.6	B37.6	Certain infectious and parasitic diseases	Mycoses	Candidal endocarditis	NA	NA		Yes
B37	B37.2	B37.2	Certain infectious and parasitic diseases	Mycoses	Candidiasis of skin and nail	NA	NA		Yes
B37	B37.8	B37.8	Certain infectious and parasitic diseases	Mycoses	Candidiasis of other sites	NA	NA		Yes
B37	B37.4	B37.4	Certain infectious and parasitic diseases	Mycoses	Candidiasis of other urogenital sites	NA	NA		Yes
B37	B37.3	B37.3	Certain infectious and parasitic diseases	Mycoses	Candidiasis of vulva and vagina	NA	NA		Yes
B49	B49	B49	Certain infectious and parasitic diseases	Mycoses	Unspecified mycosis	117	Mycoses	Yes	
B90	B90.9	B90.9	Certain infectious and parasitic diseases	Sequelae of infectious and parasitic diseases	Sequelae of respiratory and unspecified tuberculosis	10	Tuberculosis	Yes	
B90	B90	B90	Certain infectious and parasitic diseases	Sequelae of infectious and parasitic diseases	Sequelae of tuberculosis	10	Tuberculosis	Yes	
B90	B90.8	B90.8	Certain infectious and parasitic diseases	Sequelae of infectious and parasitic diseases	Sequelae of tuberculosis of other organs	10	Tuberculosis	Yes	
B90	B90.2	B90.2	Certain infectious and parasitic diseases	Sequelae of infectious and parasitic diseases	Sequelae of tuberculosis of bones and joints	10	Tuberculosis	Yes	
B90	B90.0	B90.0	Certain infectious and parasitic diseases	Sequelae of infectious and parasitic diseases	Sequelae of central nervous system tuberculosis	10	Tuberculosis	Yes	
B90	B90.1	B90.1	Certain infectious and parasitic diseases	Sequelae of infectious and parasitic diseases	Sequelae of genitourinary tuberculosis	10	Tuberculosis	Yes	
B96	B96.0	B96.0	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Mycoplasma pneumoniae [M. pneumoniae] as the cause of diseases classified to other chapters	NA	NA		Yes
B96	B96.1	B96.1	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified to other chapters	NA	NA		Yes
B96	B96.2	B96.2	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Escherichia coli [E. coli] as the cause of diseases classified to other chapters	NA	NA		Yes
B96	B96.3	B96.3	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Haemophilus influenzae [H. influenzae] as the cause of diseases classified to other chapters	NA	NA		Yes
B96	B96.4	B96.4	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Proteus (mirabilis)(morganii) as the cause of diseases classified to other chapters	NA	NA		Yes
B96	B96.5	B96.5	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Pseudomonas (aeruginosa) as the cause of diseases classified to other chapters	NA	NA		Yes
B96	B96.6	B96.6	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Bacillus fragilis [B. fragilis] as the cause of diseases classified to other chapters	NA	NA		Yes
B96	B96.7	B96.7	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Clostridium perfringens [C. perfringens] as the cause of diseases classified to other chapters	NA	NA		Yes
B97	B97.8	B97.89	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Other viral agents as the cause of diseases classified to other chapters	79	Viral infection	Yes	Yes
B97	B97.8	B97.8	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Other viral agents as the cause of diseases classified to other chapters	79	Viral infection	Yes	Yes
B97	B97.8	B97.81	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Other viral agents as the cause of diseases classified to other chapters	79	Viral infection	Yes	Yes
B97	B97.0	B97.0	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Adenovirus as the cause of diseases classified to other chapters	79	Viral infection	Yes	Yes
B97	B97.2	B97.2	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Coronavirus as the cause of diseases classified to other chapters	79	Viral infection	Yes	Yes
B97	B97.2	B97.21	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Coronavirus as the cause of diseases classified to other chapters	79	Viral infection	Yes	Yes
B97	B97.2	B97.29	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Coronavirus as the cause of diseases classified to other chapters	79	Viral infection	Yes	Yes
B97	B97.7	B97.7	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Papillomavirus as the cause of diseases classified to other chapters	78	Viral warts & HPV	Yes	Yes
B97	B97.6	B97.6	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Parvovirus as the cause of diseases classified to other chapters	79	Viral infection	Yes	Yes
B97	B97.5	B97.5	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Reovirus as the cause of diseases classified to other chapters	79	Viral infection	Yes	Yes
B97	B97.1	B97.10	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Enterovirus as the cause of diseases classified to other chapters	79	Viral infection	Yes	Yes
B97	B97.1	B97.11	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Enterovirus as the cause of diseases classified to other chapters	79	Viral infection	Yes	Yes
B97	B97.1	B97.12	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Enterovirus as the cause of diseases classified to other chapters	79	Viral infection	Yes	Yes
B97	B97.1	B97.19	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Enterovirus as the cause of diseases classified to other chapters	79	Viral infection	Yes	Yes
B97	B97.1	B97.1	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Enterovirus as the cause of diseases classified to other chapters	79	Viral infection	Yes	Yes
B97	B97.3	B97.30	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Retrovirus as the cause of diseases classified to other chapters	79	Viral infection	Yes	Yes
B97	B97.3	B97.35	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Retrovirus as the cause of diseases classified to other chapters	71	Human immunodeficiency virus [HIV] disease	Yes	Yes
B97	B97.3	B97.31	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Retrovirus as the cause of diseases classified to other chapters	79	Viral infection	Yes	Yes
B97	B97.3	B97.39	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Retrovirus as the cause of diseases classified to other chapters	79	Viral infection	Yes	Yes
B97	B97.3	B97.32	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Retrovirus as the cause of diseases classified to other chapters	79	Viral infection	Yes	Yes
B97	B97.3	B97.34	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Retrovirus as the cause of diseases classified to other chapters	79	Viral infection	Yes	Yes
B97	B97.3	B97.33	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Retrovirus as the cause of diseases classified to other chapters	79	Viral infection	Yes	Yes
B97	B97.4	B97.4	Certain infectious and parasitic diseases	Bacterial, viral and other infectious agents	Respiratory syncytial virus as the cause of diseases classified to other chapters	79	Viral infection	Yes	Yes
B99	B99	B99	Certain infectious and parasitic diseases	Other infectious diseases	Other and unspecified infectious diseases	136	Other infectious and parasitic diseases	Yes	Yes
C73	C73	C73	Neoplasms	Malignant neoplasms	Malignant neoplasm of thyroid gland	193	Thyroid cancer	Yes	
D17	D17.1	D17.1	Neoplasms	Benign neoplasms	Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk	214.1	Lipoma of skin and subcutaneous tissue	Yes	
D17	D17.7	D17.79	Neoplasms	Benign neoplasms	Benign lipomatous neoplasm of other sites	214	Lipoma	Yes	
D17	D17.7	D17.71	Neoplasms	Benign neoplasms	Benign lipomatous neoplasm of other sites	214	Lipoma	Yes	
D17	D17.7	D17.72	Neoplasms	Benign neoplasms	Benign lipomatous neoplasm of other sites	214	Lipoma	Yes	
D17	D17.7	D17.7	Neoplasms	Benign neoplasms	Benign lipomatous neoplasm of other sites	214	Lipoma	Yes	
D17	D17.0	D17.0	Neoplasms	Benign neoplasms	Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck	214.1	Lipoma of skin and subcutaneous tissue	Yes	
D17	D17.9	D17.9	Neoplasms	Benign neoplasms	Benign lipomatous neoplasm, unspecified	214	Lipoma	Yes	
D17	D17	D17	Neoplasms	Benign neoplasms	Benign lipomatous neoplasm	215	Other benign neoplasm of connective and other soft tissue	Yes	
D17	D17.5	D17.5	Neoplasms	Benign neoplasms	Benign lipomatous neoplasm of intra-abdominal organs	214	Lipoma	Yes	
D17	D17.3	D17.39	Neoplasms	Benign neoplasms	Benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites	214.1	Lipoma of skin and subcutaneous tissue	Yes	
D17	D17.3	D17.3	Neoplasms	Benign neoplasms	Benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites	214.1	Lipoma of skin and subcutaneous tissue	Yes	
D17	D17.3	D17.30	Neoplasms	Benign neoplasms	Benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites	214.1	Lipoma of skin and subcutaneous tissue	Yes	
D17	D17.2	D17.21	Neoplasms	Benign neoplasms	Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs	214.1	Lipoma of skin and subcutaneous tissue	Yes	
D17	D17.2	D17.24	Neoplasms	Benign neoplasms	Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs	214.1	Lipoma of skin and subcutaneous tissue	Yes	
D17	D17.2	D17.20	Neoplasms	Benign neoplasms	Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs	214.1	Lipoma of skin and subcutaneous tissue	Yes	
